app,policy_area,metric,period,value
Facebook,Child Endangerment: Nudity and Physical Abuse,Content Actioned,2019Q1,N/A
Facebook,Child Endangerment: Nudity and Physical Abuse,Content Actioned,2019Q2,N/A
Facebook,Child Endangerment: Nudity and Physical Abuse,Content Actioned,2019Q3,N/A
Facebook,Child Endangerment: Nudity and Physical Abuse,Content Actioned,2019Q4,N/A
Facebook,Child Endangerment: Nudity and Physical Abuse,Content Actioned,2020Q1,N/A
Facebook,Child Endangerment: Nudity and Physical Abuse,Content Actioned,2020Q2,N/A
Facebook,Child Endangerment: Nudity and Physical Abuse,Content Actioned,2020Q3,N/A
Facebook,Child Endangerment: Nudity and Physical Abuse,Content Actioned,2020Q4,N/A
Facebook,Child Endangerment: Nudity and Physical Abuse,Content Actioned,2021Q1,N/A
Facebook,Child Endangerment: Nudity and Physical Abuse,Content Actioned,2021Q2,"2,300,000"
Facebook,Child Endangerment: Nudity and Physical Abuse,Content Actioned,2021Q3,"1,800,000"
Facebook,Child Endangerment: Nudity and Physical Abuse,Content Actioned,2021Q4,"1,800,000"
Facebook,Child Endangerment: Nudity and Physical Abuse,Content Actioned,2022Q1,"2,100,000"
Facebook,Child Endangerment: Nudity and Physical Abuse,Content Actioned,2022Q2,"1,900,000"
Facebook,Child Endangerment: Sexual Exploitation,Content Actioned,2017Q4,N/A
Facebook,Child Endangerment: Sexual Exploitation,Content Actioned,2018Q1,N/A
Facebook,Child Endangerment: Sexual Exploitation,Content Actioned,2018Q2,N/A
Facebook,Child Endangerment: Sexual Exploitation,Content Actioned,2018Q3,N/A
Facebook,Child Endangerment: Sexual Exploitation,Content Actioned,2018Q4,N/A
Facebook,Child Endangerment: Sexual Exploitation,Content Actioned,2019Q1,N/A
Facebook,Child Endangerment: Sexual Exploitation,Content Actioned,2019Q2,N/A
Facebook,Child Endangerment: Sexual Exploitation,Content Actioned,2019Q3,N/A
Facebook,Child Endangerment: Sexual Exploitation,Content Actioned,2019Q4,N/A
Facebook,Child Endangerment: Sexual Exploitation,Content Actioned,2020Q1,N/A
Facebook,Child Endangerment: Sexual Exploitation,Content Actioned,2020Q2,N/A
Facebook,Child Endangerment: Sexual Exploitation,Content Actioned,2020Q3,N/A
Facebook,Child Endangerment: Sexual Exploitation,Content Actioned,2020Q4,N/A
Facebook,Child Endangerment: Sexual Exploitation,Content Actioned,2021Q1,N/A
Facebook,Child Endangerment: Sexual Exploitation,Content Actioned,2021Q2,"25,600,000"
Facebook,Child Endangerment: Sexual Exploitation,Content Actioned,2021Q3,"21,200,000"
Facebook,Child Endangerment: Sexual Exploitation,Content Actioned,2021Q4,"19,800,000"
Facebook,Child Endangerment: Sexual Exploitation,Content Actioned,2022Q1,"16,500,000"
Facebook,Child Endangerment: Sexual Exploitation,Content Actioned,2022Q2,"20,400,000"
Facebook,Child Nudity & Sexual Exploitation,Content Actioned,2017Q4,N/A
Facebook,Child Nudity & Sexual Exploitation,Content Actioned,2018Q1,N/A
Facebook,Child Nudity & Sexual Exploitation,Content Actioned,2018Q2,N/A
Facebook,Child Nudity & Sexual Exploitation,Content Actioned,2018Q3,"9,000,000"
Facebook,Child Nudity & Sexual Exploitation,Content Actioned,2018Q4,"7,200,000"
Facebook,Child Nudity & Sexual Exploitation,Content Actioned,2019Q1,"5,800,000"
Facebook,Child Nudity & Sexual Exploitation,Content Actioned,2019Q2,"6,900,000"
Facebook,Child Nudity & Sexual Exploitation,Content Actioned,2019Q3,"11,400,000"
Facebook,Child Nudity & Sexual Exploitation,Content Actioned,2019Q4,"13,300,000"
Facebook,Child Nudity & Sexual Exploitation,Content Actioned,2020Q1,"8,500,000"
Facebook,Child Nudity & Sexual Exploitation,Content Actioned,2020Q2,"2,800,000"
Facebook,Child Nudity & Sexual Exploitation,Content Actioned,2020Q3,"10,000,000"
Facebook,Child Nudity & Sexual Exploitation,Content Actioned,2020Q4,"5,300,000"
Facebook,Child Nudity & Sexual Exploitation,Content Actioned,2021Q1,"5,000,000"
Facebook,Dangerous Orgs: Organized Hate,Content Actioned,2017Q4,N/A
Facebook,Dangerous Orgs: Organized Hate,Content Actioned,2018Q1,N/A
Facebook,Dangerous Orgs: Organized Hate,Content Actioned,2018Q2,N/A
Facebook,Dangerous Orgs: Organized Hate,Content Actioned,2018Q3,N/A
Facebook,Dangerous Orgs: Organized Hate,Content Actioned,2018Q4,N/A
Facebook,Dangerous Orgs: Organized Hate,Content Actioned,2019Q1,N/A
Facebook,Dangerous Orgs: Organized Hate,Content Actioned,2019Q2,N/A
Facebook,Dangerous Orgs: Organized Hate,Content Actioned,2019Q3,N/A
Facebook,Dangerous Orgs: Organized Hate,Content Actioned,2019Q4,"1,600,000"
Facebook,Dangerous Orgs: Organized Hate,Content Actioned,2020Q1,"4,700,000"
Facebook,Dangerous Orgs: Organized Hate,Content Actioned,2020Q2,"1,700,000"
Facebook,Dangerous Orgs: Organized Hate,Content Actioned,2020Q3,"2,900,000"
Facebook,Dangerous Orgs: Organized Hate,Content Actioned,2020Q4,"6,400,000"
Facebook,Dangerous Orgs: Organized Hate,Content Actioned,2021Q1,"9,800,000"
Facebook,Dangerous Orgs: Organized Hate,Content Actioned,2021Q2,"6,200,000"
Facebook,Dangerous Orgs: Organized Hate,Content Actioned,2021Q3,"2,000,000"
Facebook,Dangerous Orgs: Organized Hate,Content Actioned,2021Q4,"1,600,000"
Facebook,Dangerous Orgs: Organized Hate,Content Actioned,2022Q1,"2,500,000"
Facebook,Dangerous Orgs: Organized Hate,Content Actioned,2022Q2,"2,300,000"
Facebook,Dangerous Orgs: Terrorism,Content Actioned,2017Q4,"1,100,000"
Facebook,Dangerous Orgs: Terrorism,Content Actioned,2018Q1,"1,900,000"
Facebook,Dangerous Orgs: Terrorism,Content Actioned,2018Q2,"9,400,000"
Facebook,Dangerous Orgs: Terrorism,Content Actioned,2018Q3,"3,100,000"
Facebook,Dangerous Orgs: Terrorism,Content Actioned,2018Q4,"4,900,000"
Facebook,Dangerous Orgs: Terrorism,Content Actioned,2019Q1,"8,200,000"
Facebook,Dangerous Orgs: Terrorism,Content Actioned,2019Q2,"5,900,000"
Facebook,Dangerous Orgs: Terrorism,Content Actioned,2019Q3,"5,200,000"
Facebook,Dangerous Orgs: Terrorism,Content Actioned,2019Q4,"7,600,000"
Facebook,Dangerous Orgs: Terrorism,Content Actioned,2020Q1,"6,300,000"
Facebook,Dangerous Orgs: Terrorism,Content Actioned,2020Q2,"5,400,000"
Facebook,Dangerous Orgs: Terrorism,Content Actioned,2020Q3,"6,700,000"
Facebook,Dangerous Orgs: Terrorism,Content Actioned,2020Q4,"8,600,000"
Facebook,Dangerous Orgs: Terrorism,Content Actioned,2021Q1,"9,000,000"
Facebook,Dangerous Orgs: Terrorism,Content Actioned,2021Q2,"7,100,000"
Facebook,Dangerous Orgs: Terrorism,Content Actioned,2021Q3,"10,600,000"
Facebook,Dangerous Orgs: Terrorism,Content Actioned,2021Q4,"7,700,000"
Facebook,Dangerous Orgs: Terrorism,Content Actioned,2022Q1,"16,100,000"
Facebook,Dangerous Orgs: Terrorism,Content Actioned,2022Q2,"13,600,000"
Facebook,Fake Accounts,Content Actioned,2017Q4,"694,000,000"
Facebook,Fake Accounts,Content Actioned,2018Q1,"583,000,000"
Facebook,Fake Accounts,Content Actioned,2018Q2,"800,300,000"
Facebook,Fake Accounts,Content Actioned,2018Q3,"754,000,000"
Facebook,Fake Accounts,Content Actioned,2018Q4,"1,200,000,000"
Facebook,Fake Accounts,Content Actioned,2019Q1,"2,200,000,000"
Facebook,Fake Accounts,Content Actioned,2019Q2,"1,500,000,000"
Facebook,Fake Accounts,Content Actioned,2019Q3,"1,700,000,000"
Facebook,Fake Accounts,Content Actioned,2019Q4,"1,100,000,000"
Facebook,Fake Accounts,Content Actioned,2020Q1,"1,700,000,000"
Facebook,Fake Accounts,Content Actioned,2020Q2,"791,000,000"
Facebook,Fake Accounts,Content Actioned,2020Q3,"817,100,000"
Facebook,Fake Accounts,Content Actioned,2020Q4,"1,300,000,000"
Facebook,Fake Accounts,Content Actioned,2021Q1,"1,300,000,000"
Facebook,Fake Accounts,Content Actioned,2021Q2,"1,700,000,000"
Facebook,Fake Accounts,Content Actioned,2021Q3,"1,800,000,000"
Facebook,Fake Accounts,Content Actioned,2021Q4,"1,700,000,000"
Facebook,Fake Accounts,Content Actioned,2022Q1,"1,600,000,000"
Facebook,Fake Accounts,Content Actioned,2022Q2,"1,400,000,000"
Facebook,Hate Speech,Content Actioned,2017Q4,"1,600,000"
Facebook,Hate Speech,Content Actioned,2018Q1,"2,500,000"
Facebook,Hate Speech,Content Actioned,2018Q2,"2,500,000"
Facebook,Hate Speech,Content Actioned,2018Q3,"2,900,000"
Facebook,Hate Speech,Content Actioned,2018Q4,"3,400,000"
Facebook,Hate Speech,Content Actioned,2019Q1,"4,000,000"
Facebook,Hate Speech,Content Actioned,2019Q2,"4,300,000"
Facebook,Hate Speech,Content Actioned,2019Q3,"6,900,000"
Facebook,Hate Speech,Content Actioned,2019Q4,"5,500,000"
Facebook,Hate Speech,Content Actioned,2020Q1,"9,500,000"
Facebook,Hate Speech,Content Actioned,2020Q2,"13,800,000"
Facebook,Hate Speech,Content Actioned,2020Q3,"13,500,000"
Facebook,Hate Speech,Content Actioned,2020Q4,"26,900,000"
Facebook,Hate Speech,Content Actioned,2021Q1,"25,200,000"
Facebook,Hate Speech,Content Actioned,2021Q2,"31,500,000"
Facebook,Hate Speech,Content Actioned,2021Q3,"22,300,000"
Facebook,Hate Speech,Content Actioned,2021Q4,"17,400,000"
Facebook,Hate Speech,Content Actioned,2022Q1,"15,100,000"
Facebook,Hate Speech,Content Actioned,2022Q2,"13,500,000"
Facebook,Regulated Goods: Drugs,Content Actioned,2017Q4,N/A
Facebook,Regulated Goods: Drugs,Content Actioned,2018Q1,N/A
Facebook,Regulated Goods: Drugs,Content Actioned,2018Q2,N/A
Facebook,Regulated Goods: Drugs,Content Actioned,2018Q3,N/A
Facebook,Regulated Goods: Drugs,Content Actioned,2018Q4,"572,400"
Facebook,Regulated Goods: Drugs,Content Actioned,2019Q1,"820,000"
Facebook,Regulated Goods: Drugs,Content Actioned,2019Q2,"2,600,000"
Facebook,Regulated Goods: Drugs,Content Actioned,2019Q3,"4,400,000"
Facebook,Regulated Goods: Drugs,Content Actioned,2019Q4,"8,800,000"
Facebook,Regulated Goods: Drugs,Content Actioned,2020Q1,"7,900,000"
Facebook,Regulated Goods: Drugs,Content Actioned,2020Q2,"1,700,000"
Facebook,Regulated Goods: Drugs,Content Actioned,2020Q3,"2,400,000"
Facebook,Regulated Goods: Drugs,Content Actioned,2020Q4,"4,300,000"
Facebook,Regulated Goods: Drugs,Content Actioned,2021Q1,"3,200,000"
Facebook,Regulated Goods: Drugs,Content Actioned,2021Q2,"2,300,000"
Facebook,Regulated Goods: Drugs,Content Actioned,2021Q3,"2,700,000"
Facebook,Regulated Goods: Drugs,Content Actioned,2021Q4,"4,000,000"
Facebook,Regulated Goods: Drugs,Content Actioned,2022Q1,"3,300,000"
Facebook,Regulated Goods: Drugs,Content Actioned,2022Q2,"3,900,000"
Facebook,Regulated Goods: Firearms,Content Actioned,2017Q4,N/A
Facebook,Regulated Goods: Firearms,Content Actioned,2018Q1,N/A
Facebook,Regulated Goods: Firearms,Content Actioned,2018Q2,N/A
Facebook,Regulated Goods: Firearms,Content Actioned,2018Q3,N/A
Facebook,Regulated Goods: Firearms,Content Actioned,2018Q4,"689,800"
Facebook,Regulated Goods: Firearms,Content Actioned,2019Q1,"609,100"
Facebook,Regulated Goods: Firearms,Content Actioned,2019Q2,"2,500,000"
Facebook,Regulated Goods: Firearms,Content Actioned,2019Q3,"2,300,000"
Facebook,Regulated Goods: Firearms,Content Actioned,2019Q4,"2,200,000"
Facebook,Regulated Goods: Firearms,Content Actioned,2020Q1,"1,400,000"
Facebook,Regulated Goods: Firearms,Content Actioned,2020Q2,"689,800"
Facebook,Regulated Goods: Firearms,Content Actioned,2020Q3,"618,300"
Facebook,Regulated Goods: Firearms,Content Actioned,2020Q4,"1,300,000"
Facebook,Regulated Goods: Firearms,Content Actioned,2021Q1,"1,900,000"
Facebook,Regulated Goods: Firearms,Content Actioned,2021Q2,"1,500,000"
Facebook,Regulated Goods: Firearms,Content Actioned,2021Q3,"1,100,000"
Facebook,Regulated Goods: Firearms,Content Actioned,2021Q4,"1,500,000"
Facebook,Regulated Goods: Firearms,Content Actioned,2022Q1,"1,200,000"
Facebook,Regulated Goods: Firearms,Content Actioned,2022Q2,"1,600,000"
Facebook,Spam,Content Actioned,2017Q4,"727,000,000"
Facebook,Spam,Content Actioned,2018Q1,"836,000,000"
Facebook,Spam,Content Actioned,2018Q2,"957,000,000"
Facebook,Spam,Content Actioned,2018Q3,"1,200,000,000"
Facebook,Spam,Content Actioned,2018Q4,"2,000,000,000"
Facebook,Spam,Content Actioned,2019Q1,"1,800,000,000"
Facebook,Spam,Content Actioned,2019Q2,"2,200,000,000"
Facebook,Spam,Content Actioned,2019Q3,"1,900,000,000"
Facebook,Spam,Content Actioned,2019Q4,"2,900,000,000"
Facebook,Spam,Content Actioned,2020Q1,"1,900,000,000"
Facebook,Spam,Content Actioned,2020Q2,"834,600,000"
Facebook,Spam,Content Actioned,2020Q3,"1,200,000,000"
Facebook,Spam,Content Actioned,2020Q4,"1,000,000,000"
Facebook,Spam,Content Actioned,2021Q1,"918,900,000"
Facebook,Spam,Content Actioned,2021Q2,"794,400,000"
Facebook,Spam,Content Actioned,2021Q3,"777,200,000"
Facebook,Spam,Content Actioned,2021Q4,"1,200,000,000"
Facebook,Spam,Content Actioned,2022Q1,"1,800,000,000"
Facebook,Spam,Content Actioned,2022Q2,"734,200,000"
Facebook,Suicide and Self-Injury,Content Actioned,2017Q4,N/A
Facebook,Suicide and Self-Injury,Content Actioned,2018Q1,N/A
Facebook,Suicide and Self-Injury,Content Actioned,2018Q2,N/A
Facebook,Suicide and Self-Injury,Content Actioned,2018Q3,N/A
Facebook,Suicide and Self-Injury,Content Actioned,2018Q4,N/A
Facebook,Suicide and Self-Injury,Content Actioned,2019Q1,N/A
Facebook,Suicide and Self-Injury,Content Actioned,2019Q2,"2,000,000"
Facebook,Suicide and Self-Injury,Content Actioned,2019Q3,"2,500,000"
Facebook,Suicide and Self-Injury,Content Actioned,2019Q4,"5,100,000"
Facebook,Suicide and Self-Injury,Content Actioned,2020Q1,"1,800,000"
Facebook,Suicide and Self-Injury,Content Actioned,2020Q2,"614,600"
Facebook,Suicide and Self-Injury,Content Actioned,2020Q3,"858,000"
Facebook,Suicide and Self-Injury,Content Actioned,2020Q4,"2,600,000"
Facebook,Suicide and Self-Injury,Content Actioned,2021Q1,"5,200,000"
Facebook,Suicide and Self-Injury,Content Actioned,2021Q2,"16,800,000"
Facebook,Suicide and Self-Injury,Content Actioned,2021Q3,"8,500,000"
Facebook,Suicide and Self-Injury,Content Actioned,2021Q4,"6,100,000"
Facebook,Suicide and Self-Injury,Content Actioned,2022Q1,"6,800,000"
Facebook,Suicide and Self-Injury,Content Actioned,2022Q2,"11,300,000"
Facebook,Violence And Incitement,Content Actioned,2017Q4,N/A
Facebook,Violence And Incitement,Content Actioned,2018Q1,N/A
Facebook,Violence And Incitement,Content Actioned,2018Q2,N/A
Facebook,Violence And Incitement,Content Actioned,2018Q3,N/A
Facebook,Violence And Incitement,Content Actioned,2018Q4,N/A
Facebook,Violence And Incitement,Content Actioned,2019Q1,N/A
Facebook,Violence And Incitement,Content Actioned,2019Q2,N/A
Facebook,Violence And Incitement,Content Actioned,2019Q3,N/A
Facebook,Violence And Incitement,Content Actioned,2019Q4,N/A
Facebook,Violence And Incitement,Content Actioned,2020Q1,N/A
Facebook,Violence And Incitement,Content Actioned,2020Q2,N/A
Facebook,Violence And Incitement,Content Actioned,2020Q3,N/A
Facebook,Violence And Incitement,Content Actioned,2020Q4,N/A
Facebook,Violence And Incitement,Content Actioned,2021Q1,N/A
Facebook,Violence And Incitement,Content Actioned,2021Q2,N/A
Facebook,Violence And Incitement,Content Actioned,2021Q3,"13,600,000"
Facebook,Violence And Incitement,Content Actioned,2021Q4,"12,400,000"
Facebook,Violence And Incitement,Content Actioned,2022Q1,"21,700,000"
Facebook,Violence And Incitement,Content Actioned,2022Q2,"19,300,000"
Facebook,Violent & Graphic Content,Content Actioned,2017Q4,"1,200,000"
Facebook,Violent & Graphic Content,Content Actioned,2018Q1,"3,400,000"
Facebook,Violent & Graphic Content,Content Actioned,2018Q2,"7,900,000"
Facebook,Violent & Graphic Content,Content Actioned,2018Q3,"15,900,000"
Facebook,Violent & Graphic Content,Content Actioned,2018Q4,"18,900,000"
Facebook,Violent & Graphic Content,Content Actioned,2019Q1,"33,300,000"
Facebook,Violent & Graphic Content,Content Actioned,2019Q2,"29,200,000"
Facebook,Violent & Graphic Content,Content Actioned,2019Q3,"25,100,000"
Facebook,Violent & Graphic Content,Content Actioned,2019Q4,"34,700,000"
Facebook,Violent & Graphic Content,Content Actioned,2020Q1,"25,200,000"
Facebook,Violent & Graphic Content,Content Actioned,2020Q2,"8,300,000"
Facebook,Violent & Graphic Content,Content Actioned,2020Q3,"12,700,000"
Facebook,Violent & Graphic Content,Content Actioned,2020Q4,"15,800,000"
Facebook,Violent & Graphic Content,Content Actioned,2021Q1,"34,000,000"
Facebook,Violent & Graphic Content,Content Actioned,2021Q2,"30,100,000"
Facebook,Violent & Graphic Content,Content Actioned,2021Q3,"26,600,000"
Facebook,Violent & Graphic Content,Content Actioned,2021Q4,"25,200,000"
Facebook,Violent & Graphic Content,Content Actioned,2022Q1,"26,100,000"
Facebook,Violent & Graphic Content,Content Actioned,2022Q2,"45,900,000"
Facebook,Adult Nudity & Sexual Activity,Content Appealed,2017Q4,N/A
Facebook,Adult Nudity & Sexual Activity,Content Appealed,2018Q1,N/A
Facebook,Adult Nudity & Sexual Activity,Content Appealed,2018Q2,N/A
Facebook,Adult Nudity & Sexual Activity,Content Appealed,2018Q3,N/A
Facebook,Adult Nudity & Sexual Activity,Content Appealed,2018Q4,N/A
Facebook,Adult Nudity & Sexual Activity,Content Appealed,2019Q1,"3,100,000"
Facebook,Adult Nudity & Sexual Activity,Content Appealed,2019Q2,"3,800,000"
Facebook,Adult Nudity & Sexual Activity,Content Appealed,2019Q3,"3,400,000"
Facebook,Adult Nudity & Sexual Activity,Content Appealed,2019Q4,"2,800,000"
Facebook,Adult Nudity & Sexual Activity,Content Appealed,2020Q1,"2,300,000"
Facebook,Adult Nudity & Sexual Activity,Content Appealed,2020Q2,"10,300"
Facebook,Adult Nudity & Sexual Activity,Content Appealed,2020Q3,"8,100"
Facebook,Adult Nudity & Sexual Activity,Content Appealed,2020Q4,"306,200"
Facebook,Adult Nudity & Sexual Activity,Content Appealed,2021Q1,"390,000"
Facebook,Adult Nudity & Sexual Activity,Content Appealed,2021Q2,"536,200"
Facebook,Adult Nudity & Sexual Activity,Content Appealed,2021Q3,"272,900"
Facebook,Adult Nudity & Sexual Activity,Content Appealed,2021Q4,"311,400"
Facebook,Adult Nudity & Sexual Activity,Content Appealed,2022Q1,"274,300"
Facebook,Adult Nudity & Sexual Activity,Content Appealed,2022Q2,"2,500,000"
Facebook,Bullying & Harassment,Content Appealed,2017Q4,N/A
Facebook,Bullying & Harassment,Content Appealed,2018Q1,N/A
Facebook,Bullying & Harassment,Content Appealed,2018Q2,N/A
Facebook,Bullying & Harassment,Content Appealed,2018Q3,N/A
Facebook,Bullying & Harassment,Content Appealed,2018Q4,N/A
Facebook,Bullying & Harassment,Content Appealed,2019Q1,"475,700"
Facebook,Bullying & Harassment,Content Appealed,2019Q2,"410,500"
Facebook,Bullying & Harassment,Content Appealed,2019Q3,"713,900"
Facebook,Bullying & Harassment,Content Appealed,2019Q4,"697,500"
Facebook,Bullying & Harassment,Content Appealed,2020Q1,"552,600"
Facebook,Bullying & Harassment,Content Appealed,2020Q2,20
Facebook,Bullying & Harassment,Content Appealed,2020Q3,"14,700"
Facebook,Bullying & Harassment,Content Appealed,2020Q4,"442,900"
Facebook,Bullying & Harassment,Content Appealed,2021Q1,"935,500"
Facebook,Bullying & Harassment,Content Appealed,2021Q2,"919,200"
Facebook,Bullying & Harassment,Content Appealed,2021Q3,"1,000,000"
Facebook,Bullying & Harassment,Content Appealed,2021Q4,"799,400"
Facebook,Bullying & Harassment,Content Appealed,2022Q1,"736,000"
Facebook,Bullying & Harassment,Content Appealed,2022Q2,"1,900,000"
Facebook,Child Endangerment: Nudity and Physical Abuse,Content Appealed,2017Q4,N/A
Facebook,Child Endangerment: Nudity and Physical Abuse,Content Appealed,2018Q1,N/A
Facebook,Child Endangerment: Nudity and Physical Abuse,Content Appealed,2018Q2,N/A
Facebook,Child Endangerment: Nudity and Physical Abuse,Content Appealed,2018Q3,N/A
Facebook,Child Endangerment: Nudity and Physical Abuse,Content Appealed,2018Q4,N/A
Facebook,Child Endangerment: Nudity and Physical Abuse,Content Appealed,2019Q1,N/A
Facebook,Child Endangerment: Nudity and Physical Abuse,Content Appealed,2019Q2,N/A
Facebook,Child Endangerment: Nudity and Physical Abuse,Content Appealed,2019Q3,N/A
Facebook,Child Endangerment: Nudity and Physical Abuse,Content Appealed,2019Q4,N/A
Facebook,Child Endangerment: Nudity and Physical Abuse,Content Appealed,2020Q1,N/A
Facebook,Child Endangerment: Nudity and Physical Abuse,Content Appealed,2020Q2,N/A
Facebook,Child Endangerment: Nudity and Physical Abuse,Content Appealed,2020Q3,N/A
Facebook,Child Endangerment: Nudity and Physical Abuse,Content Appealed,2020Q4,N/A
Facebook,Child Endangerment: Nudity and Physical Abuse,Content Appealed,2021Q1,N/A
Facebook,Child Endangerment: Nudity and Physical Abuse,Content Appealed,2021Q2,"3,000"
Facebook,Child Endangerment: Nudity and Physical Abuse,Content Appealed,2021Q3,"2,300"
Facebook,Child Endangerment: Nudity and Physical Abuse,Content Appealed,2021Q4,"3,700"
Facebook,Child Endangerment: Nudity and Physical Abuse,Content Appealed,2022Q1,"4,000"
Facebook,Child Endangerment: Nudity and Physical Abuse,Content Appealed,2022Q2,"61,500"
Facebook,Child Endangerment: Sexual Exploitation,Content Appealed,2017Q4,N/A
Facebook,Child Endangerment: Sexual Exploitation,Content Appealed,2018Q1,N/A
Facebook,Child Endangerment: Sexual Exploitation,Content Appealed,2018Q2,N/A
Facebook,Child Endangerment: Sexual Exploitation,Content Appealed,2018Q3,N/A
Facebook,Child Endangerment: Sexual Exploitation,Content Appealed,2018Q4,N/A
Facebook,Child Endangerment: Sexual Exploitation,Content Appealed,2019Q1,N/A
Facebook,Child Endangerment: Sexual Exploitation,Content Appealed,2019Q2,N/A
Facebook,Child Endangerment: Sexual Exploitation,Content Appealed,2019Q3,N/A
Facebook,Child Endangerment: Sexual Exploitation,Content Appealed,2019Q4,N/A
Facebook,Child Endangerment: Sexual Exploitation,Content Appealed,2020Q1,N/A
Facebook,Child Endangerment: Sexual Exploitation,Content Appealed,2020Q2,N/A
Facebook,Child Endangerment: Sexual Exploitation,Content Appealed,2020Q3,N/A
Facebook,Child Endangerment: Sexual Exploitation,Content Appealed,2020Q4,N/A
Facebook,Child Endangerment: Sexual Exploitation,Content Appealed,2021Q1,N/A
Facebook,Child Endangerment: Sexual Exploitation,Content Appealed,2021Q2,"1,000"
Facebook,Child Endangerment: Sexual Exploitation,Content Appealed,2021Q3,700
Facebook,Child Endangerment: Sexual Exploitation,Content Appealed,2021Q4,800
Facebook,Child Endangerment: Sexual Exploitation,Content Appealed,2022Q1,800
Facebook,Child Endangerment: Sexual Exploitation,Content Appealed,2022Q2,"403,000"
Facebook,Child Nudity & Sexual Exploitation,Content Appealed,2017Q4,N/A
Facebook,Child Nudity & Sexual Exploitation,Content Appealed,2018Q1,N/A
Facebook,Child Nudity & Sexual Exploitation,Content Appealed,2018Q2,N/A
Facebook,Child Nudity & Sexual Exploitation,Content Appealed,2018Q3,N/A
Facebook,Child Nudity & Sexual Exploitation,Content Appealed,2018Q4,N/A
Facebook,Child Nudity & Sexual Exploitation,Content Appealed,2019Q1,"27,400"
Facebook,Child Nudity & Sexual Exploitation,Content Appealed,2019Q2,"145,000"
Facebook,Child Nudity & Sexual Exploitation,Content Appealed,2019Q3,"128,800"
Facebook,Child Nudity & Sexual Exploitation,Content Appealed,2019Q4,"72,900"
